Заголовок,Ссылка
Пляжи излюбленного курорта россиян заполонили опасные существа,https://lenta.ru//news/2024/04/01/plyazhi-izlyublennogo-kurorta-rossiyan-zapolonili-opasnye-suschestva/
Девятилетняя школьница упала в люк во время квеста в Москве,https://lenta.ru//news/2024/04/01/devyatiletnyaya-shkolnitsa-upala-v-lyuk-vo-vremya-kvesta-v-moskve/
Популярная рэперша ответила сравнившим ее волосы с ковром хейтерам,https://lenta.ru//news/2024/04/01/populyarnaya-repersha-otvetila-sravnivshim-ee-volosy-s-kovrom-heyteram/
В СКА ответили на вопрос о будущем Ротенберга,https://lenta.ru//news/2024/04/01/v-ska-otvetili-na-vopros-o-buduschem-rotenberga/
В России высказались о вероятности полного блэкаута на Украине,https://lenta.ru//news/2024/04/01/blekauta-na-ukraine/
Путин сделал гвардейской общевойсковую армию,https://lenta.ru//news/2024/04/01/putin-sdelal-gvardeyskoy-obschevoyskovuyu-armiyu/
Заместителя главного судебного пристава России освободили от должности,https://lenta.ru//news/2024/04/01/belousovv/
Дочь Маликова отсудила 100 тысяч рублей у швейной фабрики,https://lenta.ru//news/2024/04/01/doch-malikova-otsudila-100-tysyach-rubley-u-shveynoy-fabriki/
В партии Пашиняна назвали отношения Армении с Западом безвредными для России,https://lenta.ru//news/2024/04/01/v-partii-pashinyana-nazvali-otnosheniya-armenii-s-zapadom-bezvrednymi-dlya-rossii/
СВР уличила Байдена в попытке исказить картину теракта «Крокусе»,https://lenta.ru//news/2024/04/01/svr-ulichila-baydena-v-popytke-iskazit-kartinu-terakta-krokuse/
Спецслужбы ЕС начали проверку правых политиков из-за поддержки России,https://lenta.ru//news/2024/04/01/spetssluzhby-es-nachali-proverku-pravyh-politikov-iz-za-podderzhki-rossii/
Доходы от аренды квартиры в Москве подсчитали,https://lenta.ru//news/2024/04/01/arenda-dokhod/
Раскрыты продажи автомобилей «Москвич»,https://lenta.ru/https://motor.ru/news/moskvich-sales-01-04-2024.htm
Свиное ушко достали врачи из кишечника жительницы Подмосковья,https://lenta.ru/https://moslenta.ru/news/lyudi/svinoe-ushko-dostali-vrachi-iz-kishechnika-zhitelnicy-podmoskovya-01-04-2024.htm/
В переданную Украине ноту не вошли требования по теракту в «Крокусе»,https://lenta.ru//news/2024/04/01/v-peredannuyu-ukraine-notu-ne-voshli-trebovaniya-po-teraktu-v-krokuse/
Экономический кризис в Турции назвали причиной поражения партии Эрдогана,https://lenta.ru//news/2024/04/01/primer/
Киркоров увидел лапшу в образе бывшего возлюбленного Бузовой,https://lenta.ru//news/2024/04/01/kirkorov-zayavil-o-dvulichnosti-byvshego-vozlyublennogo-buzovoy/
